track-name,artist,album-name,album-artist-name,disc-number,track-number,track-duration,explicit,popularity,artist-genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time-signature,label,album-release-year,decade,chords
2step (feat. Budjerah),Ed Sheeran,2step (feat. Budjerah),"Ed Sheeran, Budjerah",1,1,153426.0,False,34.0,"pop,singer-songwriter pop,uk pop,australian indigenous music,australian r&b",0.727,0.621,4.0,-4.784,0.0,0.0555,0.212,0.0,0.114,0.565,94.958,4.0,Atlantic Records UK,2022,2020,
New York,Ed Sheeran,x - Wembley Edition,Ed Sheeran,1,19,235960.0,False,37.0,"pop,singer-songwriter pop,uk pop",0.728,0.461,6.0,-8.726,1.0,0.0395,0.707,0.0,0.113,0.474,86.014,4.0,Atlantic Records UK,2015,2010,
Growing Up (feat. Ed Sheeran),Ed Sheeran,This Unruly Mess I've Made,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis",1,5,305240.0,False,53.0,"pop rap,seattle hip hop,pop rap,seattle hip hop,pop rap,pop,singer-songwriter pop,uk pop",0.74,0.549,9.0,-7.072,1.0,0.303,0.178,0.0,0.114,0.469,85.16,4.0,Macklemore,2016,2010,
Dive,Ed Sheeran,÷ (Deluxe),Ed Sheeran,1,3,238440.0,False,71.0,"pop,singer-songwriter pop,uk pop",0.761,0.386,4.0,-6.158,1.0,0.0399,0.355,0.0,0.0953,0.526,134.943,3.0,Atlantic Records UK,2017,2010,
Life Goes On (feat. Luke Combs),Ed Sheeran,Life Goes On (feat. Luke Combs),"Ed Sheeran, Luke Combs",1,1,210208.0,False,66.0,"pop,singer-songwriter pop,uk pop,contemporary country,country",0.505,0.339,1.0,-7.507,1.0,0.0341,0.743,0.0,0.201,0.415,153.675,4.0,Atlantic Records UK,2023,2020,
Celestial,Ed Sheeran,Celestial,Ed Sheeran,1,1,209026.0,False,67.0,"pop,singer-songwriter pop,uk pop",0.574,0.852,2.0,-1.248,1.0,0.0397,0.0529,0.0,0.161,0.501,123.038,4.0,Atlantic Records UK,2022,2020,
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,Perfect Duet (Ed Sheeran & Beyoncé),"Ed Sheeran, Beyoncé",1,1,259550.0,False,67.0,"pop,singer-songwriter pop,uk pop,pop,r&b",0.587,0.299,8.0,-7.365,1.0,0.0263,0.779,0.0,0.123,0.356,94.992,3.0,Atlantic Records UK,2017,2010,
Own It (feat. Ed Sheeran & Burna Boy),Ed Sheeran,Own It (feat. Ed Sheeran & Burna Boy),"Stormzy, Burna Boy",1,1,216706.0,False,0.0,"grime,uk hip hop,afrobeats,dancehall,nigerian hip hop,nigerian pop,pop,singer-songwriter pop,uk pop",0.817,0.781,7.0,-4.178,0.0,0.112,0.00838,5.21e-06,0.123,0.359,104.0,4.0,Atlantic Records,2019,2010,
The A Team,Ed Sheeran,+,Ed Sheeran,1,1,258373.0,False,73.0,"pop,singer-songwriter pop,uk pop",0.642,0.289,9.0,-9.918,1.0,0.0367,0.669,0.0,0.18,0.407,84.996,4.0,Atlantic Records UK,2011,2010,
Tenerife Sea,Ed Sheeran,x (Deluxe Edition),Ed Sheeran,1,8,241346.0,False,66.0,"pop,singer-songwriter pop,uk pop",0.53,0.346,8.0,-10.497,1.0,0.0376,0.697,1.07e-05,0.105,0.359,121.876,4.0,Atlantic Records UK,2014,2010,
Bad Habits,Ed Sheeran,Bad Habits,Ed Sheeran,1,1,231041.0,False,6.0,"pop,singer-songwriter pop,uk pop",0.808,0.897,11.0,-3.712,0.0,0.0348,0.0469,3.14e-05,0.364,0.591,126.026,4.0,Atlantic Records UK,2021,2020,
Castle on the Hill,Ed Sheeran,÷ (Deluxe),Ed Sheeran,1,2,261153.0,False,78.0,"pop,singer-songwriter pop,uk pop",0.461,0.834,2.0,-4.868,1.0,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,4.0,Atlantic Records UK,2017,2010,
Overpass Graffiti,Ed Sheeran,=,Ed Sheeran,1,5,236906.0,False,66.0,"pop,singer-songwriter pop,uk pop",0.52,0.849,9.0,-3.794,0.0,0.186,0.00253,0.0,0.119,0.774,175.908,4.0,Atlantic Records UK,2021,2020,
River (feat. Ed Sheeran),Ed Sheeran,Revival,Eminem,1,5,221013.0,False,27.0,"detroit hip hop,hip hop,rap,pop,singer-songwriter pop,uk pop",0.757,0.738,8.0,-5.924,0.0,0.42,0.147,0.0,0.0783,0.654,90.042,4.0,Aftermath,2017,2010,
River (feat. Ed Sheeran),Ed Sheeran,Revival,Eminem,1,5,221013.0,True,72.0,"detroit hip hop,hip hop,rap,pop,singer-songwriter pop,uk pop",0.748,0.749,8.0,-5.916,0.0,0.516,0.142,0.0,0.0713,0.659,90.09,4.0,Aftermath,2017,2010,
Firefly,Ed Sheeran,Loose Change,Ed Sheeran,1,6,254999.0,False,40.0,"pop,singer-songwriter pop,uk pop",0.602,0.31,4.0,-11.469,1.0,0.0373,0.886,0.000142,0.105,0.36,159.917,4.0,Atlantic Records UK,2011,2010,
Eyes Closed,Ed Sheeran,- (Deluxe),Ed Sheeran,1,3,194848.0,False,73.0,"pop,singer-songwriter pop,uk pop",0.777,0.526,2.0,-6.221,1.0,0.0645,0.302,0.0,0.105,0.389,107.071,4.0,Atlantic Records UK,2023,2020,
Antisocial (with Travis Scott),Ed Sheeran,No.6 Collaborations Project,Ed Sheeran,1,7,161746.0,False,37.0,"pop,singer-songwriter pop,uk pop,rap,slap house",0.716,0.823,5.0,-5.313,0.0,0.0495,0.132,0.0,0.361,0.91,151.957,4.0,Atlantic Records UK,2019,2010,
Thinking out Loud,Ed Sheeran,x - Wembley Edition,Ed Sheeran,1,11,281560.0,False,63.0,"pop,singer-songwriter pop,uk pop",0.781,0.445,2.0,-6.061,1.0,0.0295,0.474,0.0,0.184,0.591,78.998,4.0,Atlantic Records UK,2013,2010,
Lay It All on Me (feat. Ed Sheeran),Ed Sheeran,We the Generation,Rudimental,1,13,242440.0,False,54.0,"pop dance,uk dance,uk funky,pop,singer-songwriter pop,uk pop",0.669,0.747,6.0,-7.108,1.0,0.0428,0.141,0.0,0.185,0.483,122.531,4.0,Asylum/Major Tom's,2015,2010,
Small Bump,Ed Sheeran,+,Ed Sheeran,1,6,259413.0,False,33.0,"pop,singer-songwriter pop,uk pop",0.81,0.436,10.0,-12.683,1.0,0.0717,0.689,0.000151,0.11,0.446,119.973,4.0,Atlantic Records UK,2011,2010,
Lay It All on Me (feat. Ed Sheeran),Ed Sheeran,Lay It All on Me (feat. Ed Sheeran),Rudimental,1,1,242440.0,False,38.0,"pop dance,uk dance,uk funky,pop,singer-songwriter pop,uk pop",0.669,0.747,6.0,-7.108,1.0,0.0428,0.141,0.0,0.185,0.483,122.531,4.0,Asylum/Major Tom's,2015,2010,
How Would You Feel (Paean),Ed Sheeran,÷ (Deluxe),Ed Sheeran,1,11,280533.0,False,63.0,"pop,singer-songwriter pop,uk pop",0.617,0.439,9.0,-5.63,1.0,0.0269,0.424,0.0,0.127,0.242,139.979,4.0,Atlantic Records UK,2017,2010,
Don't,Ed Sheeran,x (Deluxe Edition),Ed Sheeran,1,4,219840.0,False,69.0,"pop,singer-songwriter pop,uk pop",0.806,0.608,1.0,-7.008,1.0,0.0659,0.0113,0.0,0.635,0.849,95.049,4.0,Atlantic Records UK,2014,2010,
Lay It All on Me (feat. Ed Sheeran),Ed Sheeran,x - Wembley Edition,Ed Sheeran,1,24,242440.0,False,33.0,"pop dance,uk dance,uk funky,pop,singer-songwriter pop,uk pop",0.669,0.747,6.0,-7.108,1.0,0.0428,0.141,0.0,0.185,0.483,122.531,4.0,Atlantic Records UK,2013,2010,
Those Kinda Nights (feat. Ed Sheeran),Ed Sheeran,Music To Be Murdered By,Eminem,1,5,177693.0,False,26.0,"detroit hip hop,hip hop,rap,pop,singer-songwriter pop,uk pop",0.813,0.641,4.0,-6.279,0.0,0.337,0.0269,0.0,0.0864,0.39,103.827,4.0,Shady/Aftermath/Interscope Records,2020,2020,
Bloodstream,Ed Sheeran,x (Deluxe Edition),Ed Sheeran,1,7,300253.0,False,61.0,"pop,singer-songwriter pop,uk pop",0.66,0.316,3.0,-11.567,0.0,0.0364,0.529,0.000294,0.104,0.543,91.207,4.0,Atlantic Records UK,2014,2010,
What Do I Know?,Ed Sheeran,÷ (Deluxe),Ed Sheeran,1,10,237333.0,False,63.0,"pop,singer-songwriter pop,uk pop",0.838,0.492,1.0,-5.69,0.0,0.038,0.251,0.0,0.262,0.895,115.092,4.0,Atlantic Records UK,2017,2010,
BLOW (with Chris Stapleton & Bruno Mars),Ed Sheeran,BLOW (with Chris Stapleton & Bruno Mars),"Ed Sheeran, Chris Stapleton, Bruno Mars",1,1,209120.0,False,61.0,"pop,singer-songwriter pop,uk pop,contemporary country,outlaw country,dance pop,pop",0.631,0.796,1.0,-5.35,1.0,0.0401,0.000245,0.0115,0.38,0.596,92.469,4.0,Atlantic Records UK,2019,2010,
Old School Love (feat. Ed Sheeran),Ed Sheeran,Old School Love (feat. Ed Sheeran),Lupe Fiasco,1,1,273903.0,True,41.0,"chicago rap,conscious hip hop,hip hop,political hip hop,pop rap,rap,southern hip hop,pop,singer-songwriter pop,uk pop",0.701,0.781,5.0,-8.493,1.0,0.134,0.0908,1.75e-06,0.358,0.459,86.006,4.0,1st & 15th/Atlantic,2013,2010,
Beautiful People (feat. Khalid),Ed Sheeran,No.6 Collaborations Project,Ed Sheeran,1,1,197866.0,False,70.0,"pop,singer-songwriter pop,uk pop,pop,pop r&b",0.64,0.647,5.0,-8.114,0.0,0.186,0.124,0.0,0.0801,0.546,92.979,4.0,Atlantic Records UK,2019,2010,
Galway Girl,Ed Sheeran,÷ (Deluxe),Ed Sheeran,1,6,170826.0,False,76.0,"pop,singer-songwriter pop,uk pop",0.624,0.876,9.0,-3.374,1.0,0.1,0.0735,0.0,0.327,0.781,99.943,4.0,Atlantic Records UK,2017,2010,
Sing,Ed Sheeran,x (Deluxe Edition),Ed Sheeran,1,3,235382.0,False,67.0,"pop,singer-songwriter pop,uk pop",0.818,0.67,8.0,-4.451,0.0,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,4.0,Atlantic Records UK,2014,2010,
Drunk,Ed Sheeran,+,Ed Sheeran,1,2,200093.0,False,60.0,"pop,singer-songwriter pop,uk pop",0.733,0.652,7.0,-9.101,1.0,0.0696,0.419,2.37e-06,0.521,0.459,99.998,4.0,Atlantic Records UK,2011,2010,
Shape of You,Ed Sheeran,Shape of You,Ed Sheeran,1,1,233712.0,False,5.0,"pop,singer-songwriter pop,uk pop",0.825,0.652,1.0,-3.183,0.0,0.0802,0.581,0.0,0.0931,0.931,95.977,4.0,Atlantic Records UK,2017,2010,
The A Team,Ed Sheeran,+,Ed Sheeran,1,1,258373.0,False,65.0,"pop,singer-songwriter pop,uk pop",0.642,0.289,9.0,-9.918,1.0,0.0367,0.669,0.0,0.18,0.407,84.996,4.0,Atlantic Records UK,2011,2010,
Lego House,Ed Sheeran,+,Ed Sheeran,1,9,185093.0,False,70.0,"pop,singer-songwriter pop,uk pop",0.592,0.637,11.0,-8.48,1.0,0.0992,0.562,0.0,0.13,0.565,159.701,4.0,Atlantic Records UK,2011,2010,
2step (feat. Leto),Ed Sheeran,2step (feat. Leto),"Ed Sheeran, Leto",1,1,154453.0,False,30.0,"pop,singer-songwriter pop,uk pop,french hip hop,pop urbaine,rap francais",0.73,0.701,7.0,-5.318,1.0,0.0447,0.273,0.0,0.0657,0.522,94.97,4.0,Atlantic Records UK,2022,2020,
Lego House,Ed Sheeran,+,Ed Sheeran,1,9,185093.0,False,49.0,"pop,singer-songwriter pop,uk pop",0.592,0.637,11.0,-8.48,1.0,0.0992,0.562,0.0,0.13,0.565,159.701,4.0,Atlantic Records UK,2011,2010,
Thinking out Loud,Ed Sheeran,x (Deluxe Edition),Ed Sheeran,1,11,281560.0,False,80.0,"pop,singer-songwriter pop,uk pop",0.781,0.445,2.0,-6.061,1.0,0.0295,0.474,0.0,0.184,0.591,78.998,4.0,Atlantic Records UK,2014,2010,
"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Ed Sheeran,The Hobbit - The Desolation Of Smaug (Original Motion Picture Soundtrack / Special Edition),Howard Shore,1,28,300840.0,False,8.0,"pop,singer-songwriter pop,uk pop",0.581,0.0549,10.0,-20.514,0.0,0.0397,0.559,0.0,0.0718,0.234,152.037,4.0,Decca (UMO),2013,2010,
I Don't Care (with Justin Bieber),Ed Sheeran,I Don't Care (with Justin Bieber),"Ed Sheeran, Justin Bieber",1,1,219946.0,False,72.0,"pop,singer-songwriter pop,uk pop,canadian pop,pop",0.798,0.676,6.0,-5.041,1.0,0.0442,0.0902,0.0,0.0894,0.843,101.956,4.0,Atlantic Records UK,2019,2010,
Eyes Closed,Ed Sheeran,Eyes Closed,Ed Sheeran,1,1,194848.0,False,4.0,"pop,singer-songwriter pop,uk pop",0.777,0.526,2.0,-6.221,1.0,0.0645,0.302,0.0,0.105,0.389,107.071,4.0,Atlantic Records UK,2023,2020,
Everything Has Changed,Ed Sheeran,Red,Taylor Swift,1,14,245413.0,False,0.0,"pop,pop,singer-songwriter pop,uk pop",0.631,0.475,6.0,-6.66,1.0,0.0283,0.349,2.57e-06,0.336,0.426,80.029,4.0,Universal Music Group,2012,2010,
One,Ed Sheeran,x (Deluxe Edition),Ed Sheeran,1,1,252760.0,False,57.0,"pop,singer-songwriter pop,uk pop",0.464,0.321,2.0,-11.12,1.0,0.0418,0.877,0.0,0.0789,0.306,93.528,4.0,Atlantic Records UK,2014,2010,
Bam Bam (feat. Ed Sheeran),Ed Sheeran,Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",1,1,206070.0,False,71.0,"dance pop,pop,pop,singer-songwriter pop,uk pop",0.756,0.697,8.0,-6.377,1.0,0.0401,0.182,0.0,0.333,0.956,94.996,4.0,Epic,2022,2020,
Shape of You,Ed Sheeran,÷ (Deluxe),Ed Sheeran,1,4,233712.0,False,85.0,"pop,singer-songwriter pop,uk pop",0.825,0.652,1.0,-3.183,0.0,0.0802,0.581,0.0,0.0931,0.931,95.977,4.0,Atlantic Records UK,2017,2010,
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,No.6 Collaborations Project,Ed Sheeran,1,3,204833.0,False,33.0,"pop,singer-songwriter pop,uk pop,chicago rap,conscious hip hop,hip hop,pop rap,rap,trap,melodic rap,rap,trap",0.654,0.783,8.0,-6.389,0.0,0.181,0.213,0.0,0.0666,0.603,94.878,4.0,Atlantic Records UK,2019,2010,
Happier,Ed Sheeran,÷ (Deluxe),Ed Sheeran,1,7,207520.0,False,74.0,"pop,singer-songwriter pop,uk pop",0.522,0.385,0.0,-7.355,1.0,0.0288,0.536,0.0,0.135,0.236,89.792,4.0,Atlantic Records UK,2017,2010,
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,No.6 Collaborations Project,Ed Sheeran,1,2,204466.0,False,71.0,"pop,singer-songwriter pop,uk pop,dance pop,pop,pop,rap",0.857,0.621,9.0,-6.376,0.0,0.0825,0.148,0.0,0.0865,0.668,97.989,4.0,Atlantic Records UK,2019,2010,
Afterglow,Ed Sheeran,Afterglow,Ed Sheeran,1,1,185486.0,False,66.0,"pop,singer-songwriter pop,uk pop",0.641,0.324,11.0,-5.851,1.0,0.0299,0.698,0.0,0.328,0.273,110.184,4.0,Atlantic Records UK,2020,2020,
Kiss Me,Ed Sheeran,+,Ed Sheeran,1,11,280853.0,False,65.0,"pop,singer-songwriter pop,uk pop",0.589,0.227,2.0,-16.67,1.0,0.0498,0.64,0.00469,0.0248,0.182,74.993,4.0,Atlantic Records UK,2011,2010,
Afire Love,Ed Sheeran,x (Deluxe Edition),Ed Sheeran,1,12,314280.0,False,54.0,"pop,singer-songwriter pop,uk pop",0.552,0.637,5.0,-6.568,1.0,0.0445,0.464,1.63e-05,0.136,0.333,97.97,4.0,Atlantic Records UK,2014,2010,
I Was Made For Loving You,Ed Sheeran,Unbreakable Smile - Deluxe,Tori Kelly,1,7,188946.0,False,43.0,"pop,post-teen pop,pop,singer-songwriter pop,uk pop",0.352,0.34,2.0,-11.925,1.0,0.0295,0.349,0.0,0.0992,0.226,145.024,4.0,Tori Kelly,2016,2010,
Bloodstream,Ed Sheeran,Bloodstream,"Ed Sheeran, Rudimental",1,1,308876.0,False,43.0,"pop,singer-songwriter pop,uk pop,pop dance,uk dance,uk funky",0.482,0.59,1.0,-6.399,1.0,0.0485,0.202,2.48e-05,0.0592,0.27,89.354,4.0,Asylum,2015,2010,
Shivers,Ed Sheeran,Shivers,Ed Sheeran,1,1,207853.0,False,2.0,"pop,singer-songwriter pop,uk pop",0.788,0.859,2.0,-2.724,1.0,0.0856,0.281,0.0,0.0424,0.822,141.02,4.0,Atlantic Records UK,2021,2020,
All of the Stars,Ed Sheeran,The Fault In Our Stars: Music From The Motion Picture,Various Artists,1,1,234986.0,False,58.0,"pop,singer-songwriter pop,uk pop",0.436,0.562,11.0,-6.106,1.0,0.0278,0.0102,0.000278,0.198,0.24,150.066,4.0,Atlantic Records,2014,2010,
Photograph,Ed Sheeran,x (Deluxe Edition),Ed Sheeran,1,6,258986.0,False,84.0,"pop,singer-songwriter pop,uk pop",0.614,0.379,4.0,-10.48,1.0,0.0476,0.607,0.000464,0.0986,0.201,107.989,4.0,Atlantic Records UK,2014,2010,
Bam Bam (feat. Ed Sheeran),Ed Sheeran,Familia,Camila Cabello,1,4,206070.0,False,70.0,"dance pop,pop,pop,singer-songwriter pop,uk pop",0.756,0.697,8.0,-6.377,1.0,0.0401,0.182,0.0,0.333,0.956,94.996,4.0,Epic,2022,2020,
I Don't Care (with Justin Bieber),Ed Sheeran,No.6 Collaborations Project,Ed Sheeran,1,6,219946.0,False,77.0,"pop,singer-songwriter pop,uk pop,canadian pop,pop",0.798,0.676,6.0,-5.041,1.0,0.0442,0.0902,0.0,0.0894,0.843,101.956,4.0,Atlantic Records UK,2019,2010,
Small Bump,Ed Sheeran,+,Ed Sheeran,1,6,259413.0,False,57.0,"pop,singer-songwriter pop,uk pop",0.81,0.436,10.0,-12.683,1.0,0.0717,0.689,0.000151,0.11,0.446,119.973,4.0,Atlantic Records UK,2011,2010,
